1500,50,4,200,10,5,10,1.000000,0.001000,0.142000
750,100,6,100,25,20,5,1.000000,0.000100,0.341333
750,50,4,1600,50,20,1,0.001000,0.000100,0.385333
1500,50,7,25,50,10,1,1.000000,0.000100,0.065333
1500,100,5,200,50,20,5,0.001000,0.001000,0.696000
300,200,4,100,100,10,20,0.010000,0.001000,1.000000
300,100,3,25,10,20,20,1.000000,0.000100,0.310000
300,200,3,1600,100,20,5,0.001000,0.001000,0.993333
1500,100,5,800,10,10,5,1.000000,0.010000,0.072667
750,10,5,400,10,10,1,1.000000,0.001000,0.298667
750,200,5,100,25,10,20,0.001000,0.010000,0.304000
300,200,6,100,100,20,10,0.001000,0.010000,0.366667
1500,100,3,100,25,5,20,0.100000,0.100000,0.601333
1500,50,3,800,10,5,5,1.000000,0.001000,0.000000
1500,10,3,400,50,10,20,0.001000,0.001000,0.345333
300,100,5,1600,25,5,1,0.100000,0.100000,0.536667
1500,100,7,800,100,10,20,0.001000,0.001000,1.000000
1500,200,5,800,100,5,20,0.001000,0.010000,0.996000
1500,10,3,50,50,20,1,1.000000,0.010000,0.113333
300,200,6,1600,10,5,20,1.000000,0.001000,0.000000
1500,200,6,400,10,10,1,0.010000,0.001000,0.996667
300,10,3,25,25,5,1,0.100000,0.010000,0.663333
1500,10,5,25,50,20,20,0.010000,0.100000,0.626000
750,10,6,25,25,5,1,0.100000,0.100000,0.593333
300,10,5,100,25,10,5,1.000000,0.001000,0.353333
750,10,6,100,50,5,1,0.001000,0.000100,0.336000
300,200,5,100,25,5,20,0.001000,0.000100,0.290000
300,50,7,200,50,5,1,1.000000,0.010000,0.000000
300,50,5,800,50,20,10,0.010000,0.000100,0.476667
1500,100,7,800,10,5,10,0.010000,0.100000,0.415333
300,100,4,25,10,5,1,1.000000,0.001000,0.316667
1500,50,5,100,100,5,1,0.010000,0.010000,0.998667
1500,100,3,1600,50,10,20,0.001000,0.100000,0.927333
300,10,3,50,50,20,1,0.100000,0.010000,0.743333
750,100,4,400,50,5,10,0.100000,0.001000,0.000000
300,50,7,100,50,20,20,0.001000,0.000100,0.313333
300,100,4,400,50,5,1,0.100000,0.100000,0.696667
300,100,5,25,10,10,1,0.010000,0.100000,0.303333
300,200,6,25,25,20,1,0.100000,0.010000,0.850000
1500,10,7,25,10,5,20,1.000000,0.010000,0.000000
1500,200,6,800,50,10,10,0.010000,0.100000,0.774667
750,200,5,1600,10,20,1,0.001000,0.100000,0.333333
